Ticker,Date,Tweetcount,Indicoscore,Textblobscore,Price
JNJ,12/2/15,12,0.455177,0.024697,102.05
CAT,12/2/15,12,0.514651,-0.048264,71.03
AXP,11/24/15,12,0.499348,-0.034491,71.63
BA,12/4/15,12,0.424522,0.270833,148.5
AAPL,11/18/15,11,0.393025,0.031061,117.29
INTC,11/18/15,11,0.216503,0.026894,33.16
DD,12/8/15,11,0.59488,0.036364,66.6
KO,12/1/15,11,0.309109,0.072727,42.89
PG,12/1/15,11,0.339624,0.018079,75.94
MMM,12/11/15,11,0.721495,0.123268,154.83
UTX,11/25/15,11,0.636463,0.075379,97.27
GS,11/10/15,11,0.386432,0.086364,197.81
MMM,11/24/15,11,0.618925,0.106818,157.75
NKE,12/2/15,11,0.487801,-0.016667,132.65
BA,12/11/15,11,0.476955,0.092424,144.62
MMM,11/4/15,10,0.737171,0,158.91
MRK,12/1/15,10,0.513246,0.042475,54.57
AXP,11/5/15,10,0.661205,0.058611,73.93
CAT,11/19/15,10,0.523483,0.027774,70.02
MSFT,11/18/15,10,0.354627,0.045139,53.85
AXP,12/10/15,10,0.545414,0.14,70.11
BA,12/9/15,10,0.273421,0.181944,144.24
DD,12/3/15,10,0.488484,0.08,66.23
MMM,11/19/15,10,0.708853,0.02,158.38
CSCO,12/2/15,10,0.550003,0.021429,27.44
UNH,12/2/15,10,0.436716,0.112,117.64
VZ,11/24/15,9,0.691553,-0.002778,45.19
MMM,12/8/15,9,0.394409,-0.005556,156.79
AXP,11/25/15,9,0.548738,0.004828,71.69
MMM,12/9/15,9,0.464243,0,156.05
UNH,11/6/15,9,0.386742,0.055556,114.81
JNJ,11/10/15,9,0.453013,0,101.45
CSCO,12/8/15,9,0.517005,0.032143,27.15
UNH,12/1/15,8,0.510213,0.000625,116.26
AXP,12/11/15,8,0.506657,0.089773,68.86
PFE,12/7/15,8,0.437957,-0.025,32.66
KO,12/2/15,7,0.410748,0.139286,42.77
UTX,12/10/15,7,0.593135,-0.025794,93.87
PG,12/2/15,7,0.369401,0.019481,75.79
MMM,12/7/15,7,0.459752,0,157.75
UTX,12/3/15,7,0.558546,0,94.7
BA,12/3/15,7,0.46316,0.285714,145.56
XOM,11/18/15,7,0.638302,0.078571,80.74
UTX,11/27/15,7,0.32622,0.007143,96.8
VZ,12/1/15,7,0.531014,0.015368,45.58
V,12/2/15,7,0.485457,0.057143,79.04
MMM,12/2/15,6,0.373297,-0.008333,155.7
WMT,12/7/15,6,0.688416,0.133333,60.5
XOM,12/7/15,6,0.451203,0,76.8
CVX,11/10/15,6,0.417499,0.026667,93.23
UTX,11/5/15,6,0.613211,0.095833,100.8
TRV,11/27/15,6,0.466308,0.026667,114.85
V,11/10/15,6,0.349934,-0.05,79.48
CVX,12/2/15,6,0.568507,0.013333,90.25
BA,12/1/15,6,0.645792,0.166111,147.74
VZ,12/2/15,6,0.600242,0.022917,44.92
GE,11/10/15,5,0.37468,0.08,30.12
WMT,11/10/15,5,0.153892,-0.133333,58.68
GE,12/7/15,5,0.606212,0.64,30.37
V,11/18/15,5,0.54079,0.04,80.46
BA,12/2/15,5,0.419385,0.1,146.96
UTX,11/4/15,5,0.70401,0.146429,100.33
TRV,12/11/15,5,0.580982,0.175,109.76
HD,11/10/15,5,0.280099,0.018667,125.26
UNH,12/10/15,5,0.691199,0.157727,116.21
KO,12/7/15,5,0.809758,0.16,43.2
KO,11/10/15,5,0.275607,0.016,41.77
CAT,12/11/15,5,0.41754,0.033333,65.43
IBM,11/18/15,5,0.364535,0.045,135.82
UNH,11/19/15,4,0.584697,0.027841,110.63
DIS,11/10/15,4,0.081693,-0.016667,117.42
TRV,12/9/15,4,0.845302,-0.00625,111.04
IBM,11/10/15,4,0.477186,0,135.47
TRV,11/19/15,4,0.606057,0.015341,115.02
TRV,11/13/15,4,0.488068,0,112
V,12/7/15,4,0.224532,0,79.55
JNJ,12/7/15,4,0.409832,0,103.32
VZ,11/18/15,4,0.59429,0.04,45.38
JPM,12/7/15,4,0.730212,0.090625,67
UNH,12/8/15,4,0.700787,0.068295,115.88
AAPL,11/3/15,4,0.544654,0.102917,122.57
CSCO,11/10/15,4,0.499621,0,27.98
MCD,12/7/15,4,0.869131,0.075,116.42
AXP,12/3/15,4,0.421923,0.2625,70.42
AXP,12/1/15,4,0.263091,0.003535,72.2
WMT,11/18/15,4,0.229539,0.375,60.93
NKE,11/10/15,4,0.454855,-0.035,130
MRK,12/2/15,4,0.47994,-0.0125,53.82
DIS,11/18/15,3,0.486632,-0.011111,118.14
PG,12/7/15,3,0.549434,0.320833,78.37
INTC,12/7/15,3,0.192116,0,34.99
TRV,11/4/15,3,0.609834,-0.116667,114.08
TRV,11/5/15,3,0.269175,0.035714,113.97
TRV,11/6/15,3,0.12617,0,113.1
CAT,11/10/15,3,0.229675,0,72.43
BA,12/10/15,3,0.341611,0.166667,146.41
NKE,12/7/15,3,0.703917,0,131.6
MMM,11/10/15,3,0.691731,0,157.59
CAT,12/7/15,3,0.4729,0,68.36
AXP,11/10/15,3,0.713845,0,73.37
HD,11/18/15,3,0.505954,0.144444,126.54
UTX,11/19/15,3,0.864193,0.099343,98.3
GS,11/18/15,3,0.6769,0.127778,193.66
